asin	relation	attribute
0062294784	description	As they're thrown together more and more, Jase and Teresa can't keep denying their feelings for each other. But a familiar danger looms and tragedy strikes. As the campus recovers, the star-crossed couple must decide what they're willing to risk to be together and what they're willing to lose if they're not. . . .
006230240X	title	Rule: A Marked Men Novel
006230240X	description	A wildly addicting read. Youll love Rule, the man and the book!  (Cora Carmack, New York Times bestselling author of LOSING IT)
006230240X	description	Opposites in every way . . . except the one that matters 
006230240X	description	Shaw Landon loved Rule Archer from the moment she laid eyes on him. Rule is everything a straight--A pre-med student like Shaw shouldn't want--and the only person she's never tried to please. She isn't afraid of his scary piercings and tattoos or his wild attitude. Though she knows that Rule is wrong for her, her heart just won't listen.
006230240X	description	To a rebel like Rule Archer, Shaw Landon is a stuck-up, perfect princess-and his dead twin brother's girl. She lives by other people's rules; he makes his own. He doesn't have time for a good girl like Shaw-even if she's the only one who can see the person he truly is.
006230240X	description	But a short skirt, too many birthday cocktails, and spilled secrets lead to a night neither can forget. Now, Shaw and Rule have to figure out how a girl like her and a guy like him are supposed to be together without destroying their love . . . or each other.
006230240X	description	The first Marked Men novel in Jay Crownover's combustible New Adult series.
0062302426	title	Rome: A Marked Men Novel
0062302426	description	Deliciously real, raw, and romantic. Jay Crownover is amazing! (Monica Murphy, New York Times bestselling author)A wildly addicting read. Youll love Rule, the man and the book!  (Cora Carmack, New York Times bestselling author of LOSING IT on Rule)
0062302426	description	Sometimes the wrong choice can be just right . . .
0062302426	description	"Fun and fearless, Cora Lewis knows how to keep her tattooed ""bad boy"" friends at the Marked in line. But beneath all that flash and sass is a broken heart. Cora won't let herself get burned again. She's waiting to fall in love with the perfect mana baggage-free, drama-free guy ready for commitment. Then she meets Rome Archer."
0062302426	description	Rome Archer is as far from perfect as a man can be. He's stubborn, rigid, and bossy. And he's returned from his final tour of duty more than a little broken. Rome's used to filling many roles: big brother, doting son, supersoldierbut none of those fit anymore. Now he's just a man trying to figure out what to do with the rest of his life while keeping the dark demons of war and loss at bay. He would have been glad to suffer through it alone, until Cora comes sweeping into his life and becomes a blinding flash of color in a sea of gray.Perfect may not be in the cards, but perfectly imperfect could just last forever . . .
0062302418	title	Jet: A Marked Men Novel
0062302418	description	With his tight leather pants and a sharp edge that makes him dangerous, Jet Keller is every girl's rock and roll fantasy. But Ayden Cross is done walking on the wild side with bad boys. She doesn't want to give in to the heat she sees in Jet's dark, haunted eyes. She's afraid of getting burned from the sparks of their spontaneous combustion, even as his touch sets her on fire.
0062302418	description	Jet can't resist the Southern Belle with mile-long legs in cowboy boots who defies his every expectation. Yet the closer he feels to Ayden, the less he seems to know her. While he's tempted to get under her skin and undo her in every way, he knows firsthand what happens to two people with very different ideas about relationships.
0062302418	description	Will the blaze burn into an enduring love. . . or will it consume their dreams and turn them to ashes?
0062302418	description	Don't miss the latest bad boy in Jay Crownover's unforgettable New Adult series.
0062302418	description	Jay Crownover is the New York Times and USA Today bestselling author of the Marked Men and Welcome to the Point series. Like her characters, she is a big fan of tattoos. She loves music and wishes she could be a rock star, but since she has no aptitude for singing or instrument playing, shell settle for writing stories with interesting characters that make the reader feel something. She lives in Colorado with her three dogs.
0062333054	title	Rowdy: A Marked Men Novel
0062333054	description	Deliciously real, raw, and romantic. Jay Crownover is amazing! (Monica Murphy, New York Times bestselling author on Rome)A wildly addicting read. Youll love Rule, the man and the book!  (Cora Carmack, New York Times bestselling author of LOSING IT on Rule)The characters of Crownovers Marked Men series are all outlandishly colorful and irresistably passionate, while still being so genuine that their stories become unforgettable. This fifth installment, which reunites old friends and lovers, is no exception. (RT Book Reviews (top pick))Full of intimate yet spicy scenes, this novel takes readers on an emotional ride. (Booklist)
0062333054	description	After the only girl he ever loved told him that he would never be enough, Rowdy St. James knocked the Texas dust off his boots and set out to live up to his nickname. A good ol' boy looking for good times and good friends, Rowdy refuses to take anything too seriously, especially when it comes to the opposite sex. Burned by love once, he isn't going to let himself trust a woman again. But that's before his new coworker arrives, a ghost from the past who's suddenly making him question every lesson he's ever learned.
0062333054	description	Salem Cruz grew up in a house with too many rules and too little funa world of unhappiness she couldn't wait to forget. But one nice thing from childhood has stayed with her: the memory of the sweet, blue-eyed boy next door who'd been head over heels in love with her little sister.
0062333054	description	Now fate and an old friend have brought her and Rowdy together, and Salem is determined to show him that once upon a time he picked the wrong sister. A mission that is working perfectlyuntil the one person that ties them together appears, threatening to tear them apart for good.
0062351893	title	Better When He's Bad: A Welcome to the Point Novel
0062351893	description	Real danger and dark romance mix in this combustible series by Jay Crownover. Prepare to be wowed! (--Katy Evans, New York Times bestselling author)Laced with that distinctive raw edge, Crownover dials the heat up ten notches, giving her readers a delicious taste of a true bad boy. (--K.A. Tucker, author of Five Ways to Fall)Full of action that will keep you on the edge of your seat, Better When Hes Bad is a sexy thrill ride. (--Jennifer L. Armentrout, #1 New York Times bestselling author)
0062351893	description	Welcome to the Point . . .
0062351893	description	There's a difference between a bad boy and a boy who's bad. . . . Meet Shane Baxter.
0062351893	description	Sexy, dark, and dangerous, Bax isn't just from the wrong side of the tracks, he is the wrong side of the tracks. A criminal, a thug, and a brawler, he was the master of bad choices, until one such choice landed him in prison for five years. Now Bax is out and looking for answers, and he doesn't care what he has to do or who he has to hurt to get them. But there's a new player in the game, and she's much too innocent, much too soft . . . and standing directly in his way.
0062351893	description	Dovie Pryce knows all about living a hard life and the tough choices that come with it. She's always tried to be good, tried to help others, and tried not to let the darkness pull her down. But the streets are fighting back, things have gone from bad to worse, and the only person who can help her is the scariest, sexiest, most complicated ex-con the Point has ever produced.
0062351893	description	Bax terrifies her, awakening feelings she never thought she'd have for a guy like him. But it doesn't take Dovie long to realize . . . some boys are just better when they're bad.
0062385941	title	Built: A Saints of Denver Novel
0062385941	description	Crownover weaves a tale that touches every emotion and keeps the pages turning. (Liliana Hart, New York Times bestelling author of The MacKenzie series)Sexy. Emotional. Engaging. Jay Crownover has done it again with BUILT. (K. Bromberg, New York Times bestselling author)
0062385941	description	Sometimes a real hero lets you save yourself . . .
0062385941	description	Sayer Cole and Zeb Fuller couldnt be more different. Shes country club and fine-dining, hes cell-block and sawdust. Sayer spends her days in litigation while Zeb spends his working with his hands. But none of that has stopped Zeb from wanting the stunning blonde since the moment he laid eyes on hereven if the reserved lawyer seems determinedly oblivious to his interest.
0062385941	description	Sayer is certain the rough, hard, hot-as-hell Zeb could never want someone as closed off and restrained as she is, which is a shame because something tells her he might be the guy to finally melt her icy exterior. When he shows up at Sayers door needing her professional help, shes both disappointed and relieved that she wont get the chance to find out just how good he could be.
0062385941	description	But as they team up to right a wrong and save a family, the steam created when fire and ice collide cannot be ignored.
0062385941	description	Crownover weaves a tale that touches every emotion and keeps the pages turning. Liliana Hart, New York Times bestselling author
0062389718	title	Taint: A Sexual Education Novel
0062389718	description	I loved the unpredictability of this book...the fact that I never saw any of the story coming made me a hundred different shades of giddy. (True Story Book Blog)Finally, a book from a mans point of view that captures the essence of the male thinking. (TotallyBooked)Taint has everything you want in a book. The heat factor, the angst, the attraction, and no, its not all just sex. (Schmexy Girl Book Blog)S.L. Jennings has written a novel that made me abandon my moral values, concede my convictions, and root for the wrong man....because he was SO right! (Romantic Reading Escapes)
0062389718	description	"""Right now, you're probably asking yourself two things: Who am I? and What the hell are you doing here? Let's start with the most obvious question, shall we? You're here, ladies, because you can't f*ck."""
0062389718	description	Oh, stop it. Don't cringe. No one under the age of eighty clutches her pearls. You might as well get used to it, because for the next six weeks, you're going to hear that word a lot. And you're going to say it a lot. Go ahead, try it out on your tongue. F*ck. F***ck.
0062389718	description	Okay, good. Now, where were we?
0062389718	description	If you enrolled yourself in this program, then you are wholly aware that you're a lousy lay. Good for you. Admitting it is half the battle. For those of you who have been sent here by your husband or significant other, dry your tears and get over it. You've been given a gift, ladies. The gift of mind-blowing, wall-climbing, multiple-orgasm-inducing sex. You have the opportunity to f*ck like a porn star. And I guarantee that you will when I'm done with you.
0062389718	description	And who am I?
0062389718	description	Well, for the next six weeks, I will be your lover, your teacher, your best friend, and your worst enemy. Your every-f*cking-thing. I'm the one who is going to save your relationship and your sex life.
0062389718	description	I am Justice Drake. And I turn housewives into whores. Now . . . who's first?
0062434764	title	Close to You: A Fusion Novel
0062434764	description	Close to You is a romantic love story that will make you sigh with happiness and joy. Nothing better than a sweet couple that deserve one another and a beautiful future together. (Audrey Carlan, #1 New York Times bestselling author)Kristen Proby delivers yet again with a sweet, sexy, romance that leaves you swooning long after the last page is turned. (K. Bromberg, New York Times bestselling author)No one writes with the heat and heart of Kristen Proby. I adore her! (Sylvia Day, #1 New York Times bestselling author)No one packs as much passion and romance on each and every single page the way Kristen Proby does. (Jay Crownover, New York Times and USA Today bestselling author)No one does swoony alphas, strong women, and sexy love stories like Kristen Proby. She truly knows how to write romance with heart. (Laurelin Paige, New York Times and USA Today bestselling author)Kristen Probys stories are all sexy, swoonworthy must-reads! (Laura Kaye, New York Times and USA Today bestselling author)Kristen Proby writes contemporary romance like no one else! (Monica Murphy, New York Times and USA Today bestselling author)Kristen Proby is our go-to when we want to escape, when we want a love story with a slow burn, a stellar supporting cast, and heroes that have us swooning for days. (Christina Lauren, New York Times and USA Today bestselling author)Kristen Proby is a master at creating hot heroes and tender romance. I love her books! (Jennifer Probst, New York Times and USA Today bestselling author)A Kristen Proby book is a guarantee of a fantastic romance. Proby always delivers when it comes to heat, heart, humor and ALL THE FEELS. (Lauren Blakely, New York Times and USA Today bestselling author)
0062434764	description	Camilla Cami LaRue was five years old when she first fell in love with Landon Palazzo. Everyone told her the puppy love would fadethey clearly never met Landon. When he left after graduation without a backward glance, she was heartbroken. But Cami grew up, moved on, and became part owner of the wildly popular restaurant Seduction. Now she has everything she could want . . . or so she thinks.
0062434764	description	After spending the last twelve years as a Navy fighter pilot, Landon returns to Portland to take over the family construction business. When he catches a glimpse of little Cami LaRue, he realizes shes not so little anymore. He always had a soft spot for his little sisters best friend, but nothing is soft now when hes around the gorgeous restaurateur.
0062434756	title	Listen To Me: A Fusion Novel
0062434756	description	“No one writes with the heat and heart of Kristen Proby. I adore her!” (Sylvia Day, #1 New York Times bestselling author)“Kristen Proby is our go-to when we want to escape, when we want a love story with a slow burn, a stellar supporting cast, and heroes that have us swooning for days.” (Christina Lauren, New York Times and USA Today bestselling author)“A Kristen Proby book is a guarantee of a fantastic romance. Proby always delivers when it comes to heat, heart, humor and ALL THE FEELS.” (Lauren Blakely, New York Times and USA Today bestselling author)“No one packs as much passion and romance on each and every single page the way Kristen Proby does.” (Jay Crownover, New York Times and USA Today bestselling author)“Kristen Proby’s stories are all sexy, swoonworthy must-reads!” (Laura Kaye, New York Times and USA Today bestselling author)“Kristen Proby writes contemporary romance like no one else!” (Monica Murphy, New York Times and USA Today bestselling author)“No one does swoony alphas, strong women, and sexy love stories like Kristen Proby. She truly knows how to write romance with heart.” (Laurelin Paige, New York Times and USA Today bestselling author)“Kristen Proby is a master at creating hot heroes and tender romance. I love her books!” (Jennifer Probst, New York Times and USA Today bestselling author)
0062434756	description	Seduction is quickly becoming the hottest new restaurant in Portland, and Addison Wade is proud to claim one fifth of the credit. She’s determined to make it a success and can’t think of a better way to bring in new customers than live music. But when former rock star Jake Keller swaggers through the doors to apply for the weekend gig, she knows she’s in trouble. Addie instantly recognizes him—his posters were plastered all over her bedroom walls in high school. He’s all bad boy . . . exactly her type and exactly what she doesn’t need.
0062434756	description	Jake Keller walked away from the limelight five years ago and yearns to return to what’s always driven him: the music. If he gets to work for a smart-mouthed, funny-as-hell bombshell, all the better. But talking Addie into giving him the job is far easier than persuading her that he wants more than a romp in her bed. Just when she begins to drop her walls, Jake’s past finally catches up with him.
0062434756	description	Will Addie be torn apart once again or will Jake be able to convince her to drown out her doubts and listen to her heart?
0349411743	title	Hit the Spot (Dirty Deeds)
0349411743	description	Hit the Spot
0349411727	title	Four Letter Word (Dirty Deeds)
0349411727	description	Four Letter Word
0349413401	title	Down Shift
0349413401	description	Down Shift
0385543913	title	Darker: Fifty Shades Darker as Told by Christian (Fifty Shades of Grey Series)
0385543913	description	After twenty-five years working in TV, E L James decided to pursue her childhood dream, and set out to write stories that readers would fall in love with. The result was the sensuous romance Fifty Shades of Grey and its two sequels, Fifty Shades Darker and Fifty Shades Freed, a trilogy that went on to sell more than 150 million copies worldwide in 52 languages. In 2015 she published the best seller Grey, the story of Fifty Shades of Grey from the perspective of Christian Grey.  In 2012, E L James was named one of Time magazines Most Influential People in the World, one of Barbara Walterss Ten Most Fascinating People of the Year, and Publishers Weeklys Person of the Year. She went on to work as a producer on the film adaptations of her trilogy for Universal Pictures; Fifty Shades of Grey, the film, broke box-office records all over the world in 2015. Its 2017 sequel, Fifty Shades Darker, proved equally popular with fans of Ana and Christians story, and the concluding film, Fifty Shades Freed, will be released in 2018.  E L James lives with her husband, the novelist and screenwriter Niall Leonard, their two sons, and their two dogs in West London, where she is working on new novels and movie projects.
0385543913	description	Excerpt not available.
0399178589	title	Sugar Daddy: A Sugar Bowl Novel
0399178589	description	Book two cant come quick enough. I finished this book right before it was time to go to bed, and I was so hyped up that I couldnt sleep. Obsessive Book Nerd  [Sugar Daddy] is a great mix of suspense and sex.Fiction Vixen  I cannot wait for the next books.Scandalicious Book Reviews Mind-blowing . . . I highly recommend Sugar Daddy by Sawyer Bennett.Smut Book Junkie  [Sugar Daddy] had me glued to my seat until the end. I will definitely be picking up the next book in the series when its released.Book Sniffers Anonymous  It literally had me waking up in the middle of the night to read it!Collector of Book Boyfriends& Girlfriends  The story and characters are so compelling and outstanding that my heart is palpitating to get to the next installment.Lightning City Book Reviews  Fast-paced, and filled with great dialogue and sexy hotness . . . I enjoyed [Sugar Daddy] immensely!Unconventional Book Views   Her best writing to date . . . If you are a fan of Sawyer Bennetts books, you dont want to miss this new trilogy!Book Bitches BlogThis book devastated me in the most wonderful way. Beck and Sela are so scorching and real together that I didnt want to let them go. I cant wait to devour the rest of this series!#1 New York Times bestselling author Meredith Wild  A totally gripping take on romance and revenge!New York Times bestselling author Lauren BlakelySugar Daddy is raw, gritty, and exceptionally hot. I couldnt put it down.New York Times bestselling author Marquita Valentine Wow! Sawyer Bennett steps out of her ice skates and into her Manolos. Sugar Daddy is a hot read that only gets better with every page.New York Times bestselling author Susan Stoker  I read it in less than three hours because I am a freak reader when I like something. This book is great!USA Today bestselling author MJ FieldsSawyer Bennett has talent that knows no bounds and this book proves it. From page one to the end I was captivated and enthralled. I cant wait for more! USA Today bestselling author Chelsea Camaron  Sawyer Bennett does dark with amazing facility, drawing me in with Selas story, and holding me there with Becks. Sugar Daddy is compulsively readable, deliciously dirty, and passionately written.USA Today bestselling author C. D. ReissSawyer Bennett delivers a titillating novel that balances between the desire to seek revenge and the yearning to hold on to love. Its sexy and addicting, and I devoured every last word.Meghan Quinn, author of The Randy Romance NovelistFrom the eBook edition.
0399178589	description	Since the release of her debut contemporary romance novel, Off Sides, in January 2013, Sawyer Bennett has released multiple books, many of which have appeared on the New York Times, USA Today, and Wall Street Journal bestseller lists.  A reformed trial lawyer from North Carolina, Sawyer uses real-life experience to create relatable, sexy stories that appeal to a wide array of readers. From new adult to contemporary romance, she writes something for just about everyone.  Sawyer likes her Bloody Marys strong, her martinis dirty, and her heroes a combination of the two. When not bringing fictional romance to life, Sawyer is a chauffeur, stylist, chef, maid, and personal assistant to a very active daughter, as well as a full-time servant to her adorably naughty dogs. She believes in the good of others and that a bad day can be cured with a great workout, cake, or even better, both.  Sawyer also writes general and womens fiction under the pen name S. Bennett and sweet romance under the name Juliette Poe.
0399178600	title	Sugar Free: A Sugar Bowl Novel
0399178600	description	Now that all three books are out, you really should pick them up, pour yourself your favorite beverage (either in a glass or in a cup) and settle in and enjoy this wild ride!Unconventional Book Views A really good high-intensity read with this couple from start to finish. A lot of twists and turns in the relationship and with Selas past thrown in along with off-the-charts hot bedroom antics. . . . A fast-paced and action-packed ride from start to finish. . . I enjoyed the entire series.Carries Book Reviews My rating:Five of five stars. Devoured this in two hours. What an intense read. Anticipation is everything. I live for the suspense of this book!Quirky Debutantes BookshelfSugar Free does not disappoint and is more engaging than both Sugar Daddy and Sugar Rush combined. Sawyer Bennett knocked this series out of the park by combining fun and sexy moments between Sela and Beck mixed with an intriguing revenge plot.Rant & Rave About Books This was the best finale to this crazy book series. The characters were developed so carefully and intricately that I believed they could do no wrong. The storyline played out in such a way that I was so convinced one way, only to have the plot twist and then I was left [with my mouth] gaping open. This was a perfect installment and a fun book to get caught up in.FMR Book GrindI highly recommend theSugar Bowlseries if you are looking for something different and a story to keep you on the edge of your seat.Slow Readers Blog Sugar Free is a five-star book and the third book in the Sugar Bowl series.In Pattis Imagination Sugar Freeis five stars because it was an excellent way to finish theSugar Bowlseries, the books that have made me fall in love with Sawyer Bennetts writing. This woman is so freaking talented. I loved this story, the revenge plot, the chemistry and the depth of her main characters. So if you love Sawyers writing and you want a darkish version of it, you definitely have to check out this series. I highly recommend it!Alba and Her Secrets Wow! What a wild ride Sugar Bowl has been!I am telling you, Sawyer Bennett has hit her stride with this series. This is her best work yet. Really compelling characters, very fast but well-paced writing andjustthe right amount of suspense to keep you guessing without losing the romantic core of the story.Words We Love By A very well-written, nail-biting, fast-paced story. Ive read multiple series by this author and I can say that this series is by far my favorite.Liezels Book BlogFrom the eBook edition.
0399178600	description	Since the release of her debut contemporary romance novel, Off Sides, in January 2013, Sawyer Bennett has released multiple books, many of which have appeared on the New York Times, USA Today, and Wall Street Journal bestseller lists.  A reformed trial lawyer from North Carolina, Sawyer uses real-life experience to create relatable, sexy stories that appeal to a wide array of readers. From new adult to contemporary romance, she writes something for just about everyone.  Sawyer likes her Bloody Marys strong, her martinis dirty, and her heroes a combination of the two. When not bringing fictional romance to life, Sawyer is a chauffeur, stylist, chef, maid, and personal assistant to a very active daughter, as well as a full-time servant to her adorably naughty dogs. She believes in the good of others and that a bad day can be cured with a great workout, cake, or even better, both.  Sawyer also writes general and womens fiction under the pen name S. Bennett and sweet romance under the name Juliette Poe.
0399178597	title	Sugar Rush: A Sugar Bowl Novel
0399178597	description	Brilliant and heart-wrenching, with more twists and turns than a hedge maze, Sugar Rush will keep you up until the wee hours of the night.New York Times bestselling author Melanie MorelandSugar Daddyhooked me.Sugar Rushleft me hungry for more. AndSugar Freecant get into my hands soon enough! Raw, real, and deliciously sexy, the Sugar Bowl series is a must-read!Stacey Kennedy,USA Todaybestselling author of the Club Sin seriesJust when I thought Bennett couldnt suck me into Sela and Becks story, she does! The love between the two is emotional, sweet, and off the charts hot, but nothing holds a couple together better than revenge. I cant wait for the finale!New York Times bestselling author Susan StokerSawyer Bennett did it again. I devoured Sugar Rush in one sitting and it was totally worth the binge!New York Times bestselling author Marquita ValentineI am eagerly awaiting the conclusion of Sela and Becks story and I cannot wait!My Book Muse  Sawyer Bennett is amazingly talented and she continued with an even darker story that wont leave you indifferent!I am absolutely sure theSugar Bowlseries will be one of my favorites this year, so I highly recommend it!Alba and Her Secrets  I need my hands on Sugar Free! I cant wait for it to be released.Smut Book Junkie  I thoroughly enjoyed Sugar Rush and look forward to the finale in Sugar Free.NC2DC  Five stars: Sugar Rush had all that and then some!Collector of Book Boyfriends and Girlfriends  I have been waiting with bated breath for this installment. It does not disappoint. I cant say too much without spoiling it, but its safe to say that it moves at a really fast pace and doesnt let you relax for one moment.Lucy Licious Reads   Building the perfect revenge, this author delivers a second installment to this trilogy, which will leave your mind spinning.After Dark Book Lovers Sugar Rushwas just as good as the first book,Sugar Daddy.Obsessive Book NerdFrom the eBook edition.
0399178597	description	Since the release of her debut contemporary romance novel, Off Sides, in January 2013, Sawyer Bennett has released multiple books, many of which have appeared on the New York Times, USA Today, and Wall Street Journal bestseller lists.  A reformed trial lawyer from North Carolina, Sawyer uses real-life experience to create relatable, sexy stories that appeal to a wide array of readers. From new adult to contemporary romance, she writes something for just about everyone.  Sawyer likes her Bloody Marys strong, her martinis dirty, and her heroes a combination of the two. When not bringing fictional romance to life, Sawyer is a chauffeur, stylist, chef, maid, and personal assistant to a very active daughter, as well as a full-time servant to her adorably naughty dogs. She believes in the good of others and that a bad day can be cured with a great workout, cake, or even better, both.  Sawyer also writes general and womens fiction under the pen name S. Bennett and sweet romance under the name Juliette Poe.
0425257150	title	Dark Light of Day (A Noon Onyx Novel)
0425257150	description	"""Spectacular debut novel.""USA Today bestselling author Faith Hunter ""There is a fresh new voice in urban fantasy, and she has a unique take on Armageddon...With her unusual heroine, Noon Onyx, Archer has created a brilliant character who struggles against fate to find her place in the world. Set against the backdrop of university life, there is an abundance of adventure, mystery and passion!""RT Book Reviews (four stars)"
0425257150	description	Jill Archer is the author of the Noon Onyx series, genre-bending fantasy novels about a postgrad magic user and her off-campus adventures. The series includes Dark Light of Day, Fiery Edge of Steel, White Heart of Justice, and Pocket Full of Tinder.
0425263908	title	Bared to You
0425263908	description	"An Amazon 2012 Best Books of the Year in Romance selectionA Goodreads Choice Awards Finalist for Best Romance of 2012""Day creates two multidimensional characters in heroine Eva and hero Gideon, whose successful and attractive exteriors hide traumatized pasts. Especially notable is Day's portrayal of Eva. The heroine is a rape survivor who is able to independently overcome her abuse and find a full and fulfilling sex life."" - RT Book Reviews""So hot it practically sizzles, Bared to You charts the life of Manhattan newbie, Eva, and her steamy romance with the unspeakably dashing Gideon. Move over Danielle Steele and Jackie Collins, this is the dawn of a new Day."" - Amuse""I read this story over a sweltering weekend, and I was glad I had the air conditioner on full blast since this book cranked up the heat even more! Reaching the last page in this lusty, earthy book was sweet yet sad. I wanted more time with these fascinating characters."" - First for Women"
0425263908	description	"""Is it possible for two abuse survivors to have a functional romantic relationship?"" -- Eva TramellEva's question is the core of the Crossfire series. The answer she receives (""Absolutely.""), gives her hope that she can find her way there with Gideon. I hope their journey touches you the way it has me. We all deserve a happily ever after."
0425266060	title	Bared to You / Reflected in You / Entwined with You
0425266060	description	Sylvia Day Crossfire Series: Bared to You, Reflected in You,  Entwined in You.  Books have been read one time, and are in good condition with some wear on front paperback cover.  No highlighting and minimal wear on individual pages.  Originally purchased at Barnes and Nobel for $15 each (combined value of $45).  THIS IS A GREAT DEAL!  Please contact seller with questions and for more information.  Thank you!
042526596X	title	Gabriel's Inferno
042526596X	description	Sylvain Reynard is a Canadian writer with an interest in Renaissance art and culture and an inordinate attachment to the city of Florence. (Parenthetically, it should be noted that the snarky narrator of Gabriel’s Inferno was contracted to write this biographical description, and he can attest that SR is, in fact, real, and has an enviable collection of argyle socks.)
042526596X	description	 
042526596X	description	Chapter 1
042526596X	description	“...Miss Mitchell?”
042526596X	description	Professor Gabriel Emerson’s voice carried across the seminar room to the attractive brown-eyed young woman who was seated at the back. Lost in thought, or lost in translation, her head was down as she scribbled furiously in her notebook.
042526596X	description	Ten pairs of eyes swung to her, to her pale face and long lashes, her thin white fingers clutching a pen. Then ten pairs of eyes swung back to the professor, who stood perfectly still and began to scowl. His scathing demeanor contrasted sharply with the overall symmetry of his features, his large, expressive eyes, and full mouth. He was ruggedly handsome, but in that moment bitterly severe, which rather ruined the overall pleasing effect of his appearance.
042526596X	description	“Ahem.” A modest cough to her right caught the woman’s attention. She glanced in surprise at the broad-shouldered man sitting next to her. He smiled and flicked his eyes to the front of the room, back to the professor.
042526596X	description	She followed his gaze slowly, looking up into a pair of angry, peering blue eyes. She swallowed noisily.
042526596X	description	“I expect an answer to my question, Miss Mitchell. If you’d care to join us.” His voice was glacial, like his eyes.
042526596X	description	The other graduate students shifted in their seats and stole furtive glances at one another. Their expressions said what crawled up his ass? But they said nothing. (For it is commonly known that graduate students are loath to confront their professors with respect to anything, let alone rude behavior.)
042526596X	description	The young woman opened her mouth minutely and closed it, staring into those unblinking blue eyes, her own eyes wide like a frightened rabbit.
042526596X	description	“Is English your first language?” he mocked her.
042526596X	description	A raven-haired woman seated at his right hand tried to stifle a laugh, smothering it into an unconvincing cough. All eyes shifted back to the frightened rabbit, whose skin exploded into crimson as she ducked her head, finally escaping the professor’s gaze.
042526596X	description	“Since Miss Mitchell seems to be carrying on a parallel seminar in a different language, perhaps someone else would be kind enough to answer my question?”
042526596X	description	The beauty to his right was only too eager. She turned to face him and beamed as she answered his question in great detail, making a show of herself by gesturing with her hands as she quoted Dante in his original Italian. When she had finished, she smiled acidly at the back of the room, then proceeded to gaze up at the professor and sigh. All that was lacking from her display was a quick leap to the floor and a rubbing of her back on his leg to show that she would be his pet forever. (Not that he would have appreciated the gesture.)
042526596X	description	The professor frowned almost imperceptibly at no one in particular and turned his back to write on the board. The frightened rabbit blinked back tears as she continued scribbling, but mercifully she did not cry.
042526596X	description	A few minutes later, as the professor droned on and on about the conflict between the Guelfs and the Ghibellines, a small square of folded paper appeared on top of the frightened rabbit’s Italian dictionary. At first she didn’t notice it, but once again, a soft ahem drew her attention to the good-looking man beside her. He smiled more widely this time, almost eagerly, and glanced down at the paper.
